"PointID","x","y"
0, 9.997500181200000e-01, -3.633415617342052e-05
1, 9.990000128750000e-01, -1.455814375062214e-04
2, 9.977599978450000e-01, -3.287036624507692e-04
3, 9.960200190539999e-01, -5.963829828466000e-04
4, 9.937800168990000e-01, -9.703999279629470e-04
5, 9.910500049590000e-01, -1.486424061381849e-03
6, 9.878399968150000e-01, -2.191473976933476e-03
7, 9.841300249100000e-01, -3.139179325613314e-03
8, 9.799500107769999e-01, -4.350957839651266e-03
9, 9.752799868580000e-01, -5.822236205481652e-03
10, 9.701499938960000e-01, -7.486321036229714e-03
11, 9.645400047300000e-01, -9.255843419803882e-03
12, 9.584699869160000e-01, -1.102115971758014e-02
13, 9.519400000570000e-01, -1.270139489509044e-02
14, 9.449599981310000e-01, -1.425755146939852e-02
15, 9.375399947170000e-01, -1.569920973599442e-02
16, 9.296900033950000e-01, -1.707037740902024e-02
17, 9.214000105860000e-01, -1.843042190682955e-02
18, 9.126999974250000e-01, -1.982465340427402e-02
19, 9.035800099370001e-01, -2.128676400720347e-02
20, 8.940600156780000e-01, -2.282605864460624e-02
21, 8.841500282290000e-01, -2.443873859485127e-02
22, 8.738499879840000e-01, -2.611488441509468e-02
23, 8.631799817090000e-01, -2.783936594947584e-02
24, 8.521599769590000e-01, -2.959864382218515e-02
25, 8.407700061800000e-01, -3.138816778749885e-02
26, 8.290500044819999e-01, -3.319617774522500e-02
27, 8.170099854470000e-01, -3.501701085976401e-02
28, 8.046399950980000e-01, -3.684818039189659e-02
29, 7.919700145720000e-01, -3.868074116988485e-02
30, 7.790099978450000e-01, -4.050797501612365e-02
31, 7.657799720760000e-01, -4.232092183071548e-02
32, 7.522799968720000e-01, -4.411267467764272e-02
33, 7.385200262070000e-01, -4.587443366428193e-02
34, 7.245299816130000e-01, -4.759480312392544e-02
35, 7.103199958800001e-01, -4.926519378328020e-02
36, 6.958900094030001e-01, -5.087851651210189e-02
37, 6.812700033190000e-01, -5.242496008074447e-02
38, 6.664699912070000e-01, -5.389793227540724e-02
39, 6.514999866490000e-01, -5.529180917716851e-02
40, 6.363800168040000e-01, -5.660121975735040e-02
